"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 31 15:51:11 CST 2020","Fri Jul 31 15:51:11 CST 2020","137","TestCase.TestWorkforce","test_workforce_dispatch_module","TestAssign","","","劳务工派遣接口test",""
"passed","Fri Jul 31 15:51:10 CST 2020","Fri Jul 31 15:51:10 CST 2020","139","TestCase.TestWorkforce","test_query_workforce_status","TestEmployeeStatus","","","test_employee_status[data0]",""
"passed","Fri Jul 31 15:51:13 CST 2020","Fri Jul 31 15:51:13 CST 2020","130","TestCase.TestWorkforce","test_workforce_require_module","TestRequire","","","乙方劳务工需求列表",""
"passed","Fri Jul 31 15:51:12 CST 2020","Fri Jul 31 15:51:12 CST 2020","176","TestCase.TestWorkforce","test_workforce_dispatch_module","TestAssign","","","劳务工派遣详情test",""
"skipped","Fri Jul 31 15:51:10 CST 2020","Fri Jul 31 15:51:10 CST 2020","0","TestCase.TestWorkforce","test_workforce_apply_module","TestApply","","","甲方发送劳务工申请",""
"skipped","Fri Jul 31 15:51:11 CST 2020","Fri Jul 31 15:51:11 CST 2020","0","TestCase.TestWorkforce","test_workforce_apply_module","TestApply","","","甲方劳务工申请详情",""
"passed","Fri Jul 31 15:51:13 CST 2020","Fri Jul 31 15:51:13 CST 2020","111","TestCase.TestWorkforce","test_workforce_dispatch_module","TestAssign","","","派遣关联申请test",""
"passed","Fri Jul 31 15:51:11 CST 2020","Fri Jul 31 15:51:11 CST 2020","107","TestCase.TestWorkforce","test_workforce_apply_module","TestApply","","","甲方劳务工申请列表",""
"passed","Fri Jul 31 15:51:14 CST 2020","Fri Jul 31 15:51:14 CST 2020","104","TestCase.TestWorkforce","test_workforce_require_module","TestRequire","","","乙方劳务工需求详情",""
"passed","Fri Jul 31 15:51:12 CST 2020","Fri Jul 31 15:51:12 CST 2020","134","TestCase.TestWorkforce","test_workforce_dispatch_module","TestAssign","","","劳务工派遣列表test",""
